Designator,Mid X,Mid Y,Rotation,Layer
C1,212.08,-72.68,0.0,top
C10,217.0,-56.27,0.0,top
C11,217.0,-59.28,0.0,top
C12,222.25,-76.7875,90.0,top
C13,197.8,-76.0,90.0,top
C14,206.8,-75.75,270.0,top
C15,198.5,-40.25,0.0,top
C16,205.0,-43.75,90.0,top
C17,195.25,-43.5,90.0,top
C18,202.0,-52.0,180.0,top
C2,212.08,-75.69,0.0,top
C3,212.08,-78.7,0.0,top
C4,217.0,-64.25,0.0,top
C5,216.9625,-62.0,0.0,top
C6,217.0,-45.5,0.0,top
C7,217.075,-47.56,0.0,top
C8,217.0,-50.25,0.0,top
C9,217.0,-53.26,0.0,top
J1,207.25,-34.455,180.0,top
J2,207.0,-94.27,90.0,top
J3,185.38,-64.25,0.0,top
J4,229.46,-64.49,0.0,top
R1,201.15,-72.5,0.0,top
R2,215.25,-43.5,0.0,top
R3,215.25,-41.25,0.0,top
R4,210.5,-56.5,270.0,top
R5,208.25,-56.5,90.0,top
R6,222.5,-86.25,270.0,top
SW1,218.15,-80.75,0.0,top
SW2,218.0,-86.25,0.0,top
U1,209.2,-65.3,90.0,top
U2,200.25,-46.15,90.0,top
U3,199.5,-56.0,270.0,top
Y1,202.4,-76.0,180.0,top
